Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.0469E-06,-0.038627,0.28088,0,0,0,650,216.12,0.00069785,0.0018538,224.01,-4.9268,18.827,0,0,0,0,0,0,package://catamaran/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://catamaran/meshes/base_link.STL,,Floater-1;base-1;Floater-2;12.STEP-1;Ricoh-Theta.step-1;bin-1;base_ii-1;mount-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_thruster,0,0.0012259,0.13677,0,0,0,4.9984,0.064215,2.3382E-18,5.7008E-20,0.063315,0.00053171,0.064415,0,0,0,0,0,0,package://catamaran/meshes/l_thruster.STL,1,1,1,1,0,0,0,0,0,0,package://catamaran/meshes/l_thruster.STL,,thruster-2,Origin_base_to_l_thrruster,,base_to_l_thrruster,fixed,0.55834,0.43963,-0.45538,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
r_thruster,0,0.0012259,0.13677,0,0,0,4.9984,0.064215,1.5178E-18,-2.1053E-18,0.063315,0.00053171,0.064415,0,0,0,0,0,0,package://catamaran/meshes/r_thruster.STL,1,1,1,1,0,0,0,0,0,0,package://catamaran/meshes/r_thruster.STL,,thruster-1,Origin_base_to_r_thruster,,base_to_r_thruster,fixed,-0.56166,0.43963,-0.45538,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
conveyor,-1.2826E-16,-0.42361,0.3121,0,0,0,44.387,5.0077,3.0017E-16,4.2139E-15,5.8474,1.415,3.6185,0,0,0,0,0,0,package://catamaran/meshes/conveyor.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://catamaran/meshes/conveyor.STL,,conveyor_belt-1;conveyor_frame-1;waterwheel-1,Origin_base_to_conveyor,,base_to_conveyor,fixed,0,-0.68537,0.44462,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
